,Statement,Link,Date
1447,Marcos’ first SONA tops Twitter trends as Filipinos online share varying views,https://www.rappler.com/nation/filipinos-online-reaction-marcos-jr-state-nation-address-2022/,2022-07-25
1448,Ironies abound in Marcos’ debut State of the Nation Address,https://www.rappler.com/nation/ironies-abound-president-ferdinand-marcos-jr-state-of-the-nation-address-2022/,2022-07-25
1449,"What Marcos excluded from SONA: Human rights, justice, peace",https://www.rappler.com/nation/issues-marcos-jr-excluded-sona-2022/,2022-07-25
1450,FULL TEXT: President Marcos’ State of the Nation Address 2022,https://www.rappler.com/nation/full-text-transcript-president-marcos-jr-state-nation-address-2022/,2022-07-25
1451,"LIVE UPDATES: Opening of Senate, House sessions for the 19th Congress",https://www.rappler.com/nation/updates-opening-house-representatives-senate-sessions-19th-congress-july-25-2022/,2022-07-25
1452,SUMMARY: The Marcos administration’s priority bills,https://www.rappler.com/nation/summary-marcos-jr-administration-priority-bills/,2022-07-25
1453,Marcos vows farm and tax overhauls in first SONA,https://www.rappler.com/nation/marcos-jr-vows-farm-tax-overhauls-sona-2022/,2022-07-25
1454,IN PHOTOS: Groups hold protest ahead of Marcos’ first SONA,https://www.rappler.com/nation/photos-protests-marcos-jr-state-nation-address-july-25-2022/,2022-07-25
1455,An abundance of Ferdinands: Martin Romualdez is House Speaker under President Marcos,https://www.rappler.com/nation/ferdinand-martin-romualdez-speaker-house-representatives-under-president-marcos-jr/,2022-07-25
1456,Groups stage #BentePesosChallenge to call out inflation ahead of SONA 2022,https://www.rappler.com/nation/groups-bente-pesos-challenge-sona-2022/,2022-07-25
1457,"Zubiri is Senate president, seeks to ‘solve problems more than find faults’",https://www.rappler.com/nation/zubiri-senate-president-seeks-solve-problem-than-find-faults/,2022-07-25
1458,LIVESTREAM: Marcos’ first SONA | State of the Nation Address 2022,https://www.rappler.com/nation/video-ferdinand-marcos-jr-state-nation-address-july-25-2022/,2022-07-25
1459,Mga dapat malaman tungkol sa State of the Nation Address,https://www.rappler.com/nation/things-to-know-state-nation-address-filipino-language/,2022-07-25
1460,"What you should know about Marcos’ first SONA: ‘Traditional,’ but protests at a distance",https://www.rappler.com/nation/things-to-know-marcos-jr-sona-2022/,2022-07-25
1461,Robredo: Ex-Lamitan mayor’s killing a reminder to stand against impunity,https://www.rappler.com/nation/leni-robredo-statement-ateneo-shooting-former-lamitan-mayor-rose-furigay/,2022-07-24
1462,What we know so far: The shooting incident inside Ateneo,https://www.rappler.com/nation/what-we-know-so-far-shooting-incident-ateneo-de-manila-university/,2022-07-24
1463,Ateneo reviews security protocols in wake of ex-Lamitan mayor’s killing,https://www.rappler.com/nation/ateneo-de-manila-university-ched-statements-shooting-former-lamitan-mayor-rose-furigay/,2022-07-24
1464,"Marcos, Sara Duterte condemn killing of ex-Lamitan mayor, 2 others",https://www.rappler.com/nation/ferdinand-marcos-jr-sara-duterte-statements-former-lamitan-mayor-shooting-ateneo/,2022-07-24
1465,"In UN meeting, Philippines hits NPA’s use of landmines",https://www.rappler.com/nation/philippines-hits-communist-rebels-use-landmines/,2022-07-24
1466,IN NUMBERS: Filipino journalists killed since 1986,https://www.rappler.com/nation/numbers-filipino-journalists-killed-since-1986/,2022-07-23
1467,Justice Quiroz leaving Sandiganbayan to join Marcos Cabinet?,https://www.rappler.com/nation/alex-quiroz-appointed-chairperson-governance-commission-goccs/,2022-07-23
1468,IN PHOTOS: New US ambassador to PH arrives in Manila,https://www.rappler.com/nation/photos-united-states-ambassador-philippines-marykay-carlson-arrives-manila/,2022-07-23
1469,"CHED chief De Vera, 3 other gov’t officials keep posts under Marcos",https://www.rappler.com/nation/ched-chief-de-vera-other-government-officials-keep-posts-under-marcos-jr/,2022-07-23
1470,"After US’ rocky past with Marcoses, new envoy vows ‘deep, enduring’ bond",https://www.rappler.com/nation/united-states-ambassador-carlson-presentation-credentials-marcos-jr/,2022-07-22
1471,"Philippines studying government-to-government fertilizer deal with China, Indonesia, UAE",https://www.rappler.com/nation/philippines-studying-government-to-government-fertilizer-deal-china-indonesia-uae/,2022-07-22
1472,"What are Filipinos’ expectations, concerns ahead of Marcos’ first SONA?",https://www.rappler.com/nation/filipinos-online-expectations-concerns-marcos-jr-sona-2022/,2022-07-22
1473,Rappler Recap: Authorities hunt down YouTube pedophile,https://www.rappler.com/nation/recap-authorities-police-hunt-down-youtube-pedophile/,2022-07-22
1474,‘Very insecure’: Police employ rare moves to secure Marcos’ first SONA,https://www.rappler.com/nation/cops-to-be-deployed-guard-marcos-jr-sona-2022/,2022-07-21
1475,Remulla on delayed digitization of prisoner data: Not easy to shift,https://www.rappler.com/nation/remulla-response-delayed-digitization-prisoner-data/,2022-07-21
1476,Rappler Recap: DOJ-DILG briefing on PH jail system,https://www.rappler.com/nation/recap-doj-dilg-briefing-jail-system-philippines/,2022-07-21
1477,What it will take for Dengvaxia vaccine to re-enter PH,https://www.rappler.com/nation/what-will-take-dengvaxia-vaccine-re-enter-philippines/,2022-07-21
1478,"Environment chief Loyzaga wants consultative, science-based DENR",https://www.rappler.com/nation/environment-secretary-toni-yulo-loyzaga-wants-consultative-science-based-denr/,2022-07-21
1479,Robredo’s Bayanihan E-Konsulta to resume operations on July 25,https://www.rappler.com/nation/robredo-to-revive-bayanihan-e-konsulta-covid-19-cases-spike-again-july-2022/,2022-07-21
1480,Rappler Recap: DOH’s first face-to-face media briefing in 2 years,https://www.rappler.com/nation/recap-doh-first-face-to-face-media-briefing-pandemic-july-20-2022/,2022-07-20
1481,"Sandiganbayan affirms graft conviction of ex-PNP chief Verzosa, 5 others",https://www.rappler.com/nation/sandiganbayan-affirms-graft-conviction-ex-pnp-chief-versoza-others/,2022-07-20
1482,WATCH: Walkthrough of new repatriation center for OFWs,https://www.rappler.com/nation/overseas-filipinos/video-walkthrough-department-migrant-wokers-new-repatriation-center-ofws/,2022-07-20
1483,"Amid backlash, Marcos says blended learning can continue in ‘very specific areas’",https://www.rappler.com/nation/marcos-jr-says-blended-learning-can-continue-very-specific-areas/,2022-07-20
