,Statement,Link,Date
1578,DPWH sets April 2023 deadline for completion of Pampanga flyover project,https://mb.com.ph/2023/4/3/dpwh-sets-april-2023-deadline-for-completion-of-pampanga-flyover-project,a month ago
1579,CHED vows reforms to ‘continue at full speed’ after EU decision on Filipino seafarers,https://mb.com.ph/2023/4/3/ched-vows-reforms-to-continue-at-full-speed-after-eu-decision-on-filipino-seafarers,a month ago
1580,PPA readies free food for stranded passengers in anticipation of travel delays as Holy Week exodus begins,https://mb.com.ph/2023/4/3/ppa-readies-free-food-for-stranded-passengers-in-anticipation-of-travel-delays-as-holy-week-exodus-begins,a month ago
1581,Revilla lauds arrest of suspect in DLSU-Dasmariñas student’s killing,https://mb.com.ph/2023/4/3/revilla-lauds-arrest-of-suspect-in-dlsu-dasmarinas-student-s-killing,a month ago
1582,Oil slicks from sunken tanker reach Coron: PhilSA,https://mb.com.ph/2023/4/3/oil-slicks-from-sunken-tanker-reach-coron-phil-sa,a month ago
1583,"Senate panel to tackle bills on military pension, retirement plan in May",https://mb.com.ph/2023/4/3/senate-panel-to-tackle-bills-on-military-pension-retirement-plan-in-may,a month ago
1584,Pro-senior citizens solon highlights doubled social pension for indigent elderly Pinoys,https://mb.com.ph/2023/4/3/pro-senior-citizens-solon-highlights-doubled-social-pension-for-indigent-elderly-pinoys,a month ago
1585,"Bong Go urges transport officials: Develop better, stronger airport management system including contingency plans",https://mb.com.ph/2023/4/3/bong-go-urges-transport-officials-develop-better-stronger-airport-management-system-including-contingency-plans,a month ago
1586,Barzaga thanks Cavite cops for quick arrest of student's killer,https://mb.com.ph/2023/4/3/barzaga-thanks-cavite-cops-for-quick-arrest-of-student-s-killer,a month ago
1587,"BOC collection revenue hits over P213B for Q1 2023, exceeds Jan-March target",https://mb.com.ph/2023/4/3/boc-collection-revenue-hits-over-p213-b-for-q1-2023-exceeds-jan-march-target,a month ago
1588,Charges set for filing vs ‘one mastermind’ in Degamo slay,https://mb.com.ph/2023/4/3/charges-set-for-filing-vs-one-mastermind-in-degamo-slay,a month ago
1589,"Pasay police station commander sacked over escape of 10 inmates, tracker teams formed",https://mb.com.ph/2023/4/3/pasay-police-station-commander-sacked-over-escape-of-10-inmates-tracker-teams-formed,a month ago
1590,PCSO releases lotto schedule for Holy Week,https://mb.com.ph/2023/4/3/pcso-releases-lotto-schedule-for-holy-week,a month ago
1591,CHR condemns ‘use of IEDs by NPA members’ in March 22 clash with soldiers in Masbate,https://mb.com.ph/2023/4/3/chr-condemns-use-of-ie-ds-by-npa-members-in-march-22-clash-with-soldiers-in-masbate,a month ago
1592,"Cong Duterte, 2 others pursue P10-B assistance fund for poor cancer patients",https://mb.com.ph/2023/4/3/cong-duterte-2-others-pursue-p10-b-assistance-fund-for-poor-cancer-patients,a month ago
1593,Feast of St. Vincent Ferrer on April 5,https://mb.com.ph/2023/4/3/feast-of-st-vincent-ferrer-on-april-5,a month ago
1594,PAGASA: Trough of LPA to dump rains in Mindanao,https://mb.com.ph/2023/4/3/pagasa-trough-of-lpa-to-dump-rains-in-mindanao,a month ago
1595,"Ultra, Super Lotto jackpots still up for grabs",https://mb.com.ph/2023/4/2/ultra-super-lotto-jackpots-still-up-for-grabs-1,a month ago
1596,"Court of Appeals validates search warrants vs KAPA officers, members on probe on P50-B Ponzi investment scheme",https://mb.com.ph/2023/4/2/court-of-appeals-validates-search-warrants-vs-kapa-officers-members-on-probe-on-p50-b-ponzi-investment-scheme,a month ago
1597,Manila Bulletin unveils new website,https://mb.com.ph/2023/4/2/manila-bulletin-unveils-new-website,a month ago
1598,SC reverses Sandigan; acquits ex-Davao Norte Rep Floirendo Jr. of graft,https://mb.com.ph/2023/4/2/sc-reverses-sandigan-acquits-ex-davao-norte-rep-floirendo-jr-of-graft,a month ago
1599,PH Red Cross warns public vs drowning this dry season,https://mb.com.ph/2023/4/2/ph-red-cross-warns-public-vs-drowning-this-dry-season,a month ago
